Rk,Gtm,Date,Var.4,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,X.,Thr,Opp..Starter..GmeSc.,SOPercH,IP,HA,RA,ER,UER,BBA,OSO,HRA,HBPA,ERA,BF,Pit,Str,IR,IS,SBA,CSA,ABA,2BA,3BA,IBBA,SHA,SFA,ROEA,DPT,NumPitchers,Umpire,Pitchers Used (Rest-GameScore-Dec),BAA,SLGA,OBPA,OPSA,WHIP,FIP,StrPerc,SOPerc,K_9,K_BB,HR_9,team,Year
42,42,May 15,,MIL,"W,2-1",31,25,2,3,0,0,0,1,4,1,7,0,2,0,1,1,0,0,.222,.301,.382,.683,5,15,R,J.Chacin(74),0.2560355781448539,9.0,5,1,1,0,1,10,0,0,3.20,33,144,89,0,0,0,0,32,3,0,0,0,0,1,1,4,Alan Porter,"Z.Greinke (4-64), Y.Hirano (0), A.Bradley (1-W), B.Boxberger (4-Sv)",0.2208067940552017,0.3559801840056617,0.28969006957621757,0.6456702535818792,1.152947286419112,3.508961568423786,0.6287026770156819,0.24731182795698925,9.13788626330823,2.9618968259980307,0.9348221241236042,ARI,2018
43,43,May 16,,MIL,"L,2-8",35,31,2,4,0,1,1,2,4,0,11,0,0,0,0,0,1,0,.220,.300,.380,.680,6,16,R,B.Woodruff(59),0.25730267246737104,9.0,10,8,8,0,2,2,4,0,3.31,38,144,94,2,2,1,0,36,2,0,0,0,0,0,0,4,Jeremie Rehak,"M.Koch (4-12-L), T.McFarland (3), J.De La Rosa (2), A.Chafin (1)",0.2222222222222222,0.3636991028295376,0.29030265596046945,0.6540017587900071,1.1570667343313878,3.6380362852068004,0.6292395849465696,0.24274243360098827,8.974879472215173,2.9326169688829196,1.0048211113930474,ARI,2018
44,44,May 18,@,NYM,"L,1-3",32,32,1,6,2,0,0,1,0,0,16,0,0,0,0,0,0,0,.219,.298,.377,.675,4,13,R,J.deGrom(74),0.2620353443022547,8.0,6,3,1,2,5,7,0,0,3.27,36,137,83,0,0,0,0,31,1,0,0,0,0,0,0,3,Vic Carapazza,"Z.Godley (4-58-L), A.Chafin (1), F.Salas (3)",0.22162162162162163,0.3608108108108108,0.29063444108761327,0.6514452518984241,1.161402636160159,3.6310323302661027,0.6287534121929026,0.24169184290030213,8.952996766973389,2.877490827997986,0.9848296443670728,ARI,2018
45,45,May 19,@,NYM,"L,4-5",35,34,4,8,2,0,2,4,1,0,9,0,0,0,0,1,4,0,.219,.297,.379,.676,4,16,L,S.Matz(35),0.2619331742243437,8.1,10,5,5,0,4,7,2,1,3.31,39,151,96,6,0,1,0,33,2,0,0,0,1,0,0,6,Jerry Layne,"P.Corbin (4-54), J.Sherfy (4-H), J.De La Rosa (2-H), Y.Hirano (3-H), A.Bradley (3-BSv), A.Chafin (0-L)",0.2233972240581626,0.3648380700594845,0.29279811097992914,0.6576361810394136,1.1725987323256948,3.6802588980984887,0.6289103039288362,0.24025974025974026,8.929790346172599,2.8459548283336833,1.0092637737688932,ARI,2018
46,46,May 20,@,NYM,"L,1-4",33,31,1,6,0,0,0,1,1,0,11,0,1,0,1,0,1,1,.219,.295,.375,.671,5,13,R,N.Syndergaard(67),0.26331187829139846,8.0,8,4,4,0,1,4,3,0,3.33,33,109,76,0,0,1,0,32,1,0,0,0,0,0,0,4,Greg Gibson,"C.Buchholz (99-60), T.McFarland (3), J.De La Rosa (0-L), F.Salas (1)",0.22394822006472492,0.36893203883495146,0.2924145917776491,0.6613466306126006,1.17168818747011,3.7516264945002393,0.6299970819959148,0.23798494499131442,8.845050215208035,2.8539684744114995,1.054519368723099,ARI,2018
47,47,May 21,@,MIL,"L,2-4",34,29,2,3,0,0,1,2,4,0,6,1,0,0,0,1,0,0,.217,.294,.372,.666,5,12,R,C.Anderson(58),0.26161790017211706,8.0,6,4,4,0,0,11,3,0,3.35,30,119,74,0,0,1,0,30,0,0,0,0,0,0,0,3,Chris Guccione,"Z.Greinke (5-55-L), F.Salas (0), A.Chafin (1)",0.2234920634920635,0.37142857142857144,0.2908366533864542,0.6622652248150256,1.1637728765837636,3.780427498826842,0.6298580238061092,0.24018212862834376,8.911309244486157,2.9303520588847998,1.0980760206475833,ARI,2018
48,48,May 22,@,MIL,"L,0-1",32,25,0,3,1,0,0,0,7,0,10,0,0,0,0,1,0,2,.215,.294,.369,.663,5,15,R,J.Chacin(65),0.26253521126760565,8.0,4,1,1,0,3,8,0,0,3.31,30,121,77,2,1,0,1,26,1,0,0,0,1,0,0,4,Angel Hernandez,"M.Koch (5-60-L), J.De La Rosa (1), Y.Hirano (2), T.McFarland (1)",0.22236102435977514,0.3685196752029981,0.28987129266927814,0.6583909678722762,1.1584523261169968,3.7528931368033165,0.6299689878770792,0.24062674874090656,8.91294334408107,2.9249710904020136,1.0778443113772456,ARI,2018
49,49,May 23,@,MIL,"L,2-9",33,31,2,4,0,0,2,2,2,0,12,0,0,0,0,0,0,0,.213,.292,.368,.660,4,16,L,B.Suter(57),0.2643805309734513,8.0,10,9,7,2,8,8,2,0,3.40,41,165,97,2,2,0,0,32,2,0,0,1,0,1,2,5,Larry Vanover,"Z.Godley (4-15-L), F.Salas (1), T.McFarland (0), A.Bradley (3), B.Boxberger (7)",0.2241273729332517,0.3723208818126148,0.29321663019693656,0.6655375120095514,1.1781999095431932,3.8190732700135683,0.6290122606419617,0.23960612691466082,8.914518317503392,2.8256241532804336,1.0990502035278156,ARI,2018
50,50,May 25,@,OAK,"W,7-1",44,39,7,12,3,2,1,7,5,0,5,0,0,0,1,1,1,0,.216,.295,.373,.667,10,10,L,S.Manaea(21),0.2607991360691145,9.0,5,1,1,0,2,10,1,0,3.35,34,133,85,0,0,0,0,32,1,0,0,0,0,0,0,3,Jim Wolf,"P.Corbin (5-71-W), Y.Hirano (2), A.Chafin (3)",0.2228228228228228,0.3705705705705706,0.2916219119226638,0.6621924824932344,1.1702127659574468,3.803730496453901,0.6291937229437229,0.24060150375939848,8.936170212765958,2.8533214444939814,1.0970744680851063,ARI,2018
51,51,May 26,@,OAK,"L,0-3",30,29,0,2,0,0,0,0,0,0,5,0,1,0,1,0,0,0,.213,.291,.367,.659,3,9,R,D.Mengden(88),0.2592986184909671,8.0,5,3,3,0,1,3,3,0,3.35,30,114,77,0,0,0,0,29,2,0,0,0,0,0,0,3,Ryan Blakney,"C.Buchholz (5-67-L), J.De La Rosa (3), F.Salas (2)",0.22195985832349469,0.37367178276269186,0.290169133192389,0.6638409159550809,1.1628919860627178,3.8709303135888504,0.6298960831334932,0.23837209302325582,8.839285714285715,2.854249731029682,1.136759581881533,ARI,2018
